#{"t_start": 1789588070.8804383, "env_id": "None"}
r,l,t
-110.215743,300,17.735626
133.492621,181,28.584144
-109.536969,300,45.765523
-114.387408,300,62.150075
-119.798987,300,80.188863
-222.022824,261,94.674578
24.598111,300,111.125953
-86.813932,300,130.340351
-151.622002,241,143.61746
-27.424139,300,160.13878
15.630412,300,177.583845
11.306213,300,194.44357
171.790826,197,205.985792
62.863944,300,222.645077
-45.850288,300,239.709392
219.747669,243,253.044334
188.158273,226,266.496991
123.815634,213,278.478777
167.663483,294,295.506152
148.952564,219,307.501291
173.624539,267,322.526815
-21.41132,300,340.667564
129.970696,100,346.809901
103.621584,239,360.109665
207.981835,149,368.414856
109.722864,68,372.84991
208.949322,188,383.206998
107.714343,58,387.195778
175.781687,120,394.075375
177.868765,136,402.672343
188.056497,129,409.795772
202.273249,154,418.291114
185.89555,158,427.579132
153.275229,138,435.20041
162.870091,107,441.577674
247.077035,250,456.000841
176.468231,132,463.355124
116.136724,88,468.910954
243.823538,227,482.606524
163.751648,100,488.168411
141.673835,114,494.739708
223.758907,173,504.681256
176.325235,101,510.64864
174.115608,99,516.409536
198.842004,120,523.283092
171.406725,142,531.821364
147.446789,66,535.692115
166.412694,114,542.237964
162.129911,100,547.91386
167.473862,103,553.776276
194.869314,138,561.681808
100.240763,124,569.87938
188.716072,133,577.503415
163.24818,173,587.468244
213.063213,174,598.258528
126.99432,47,601.212083
216.811794,166,610.356554
220.08116,139,618.108927
227.549077,185,628.81323
212.990857,166,639.005848
135.493891,65,643.630724
249.544592,193,654.716996
145.616442,71,658.728513
130.906356,68,663.091182
225.453729,155,671.649997
96.769082,182,683.629412
203.781342,145,691.825561
126.270183,43,694.328908
189.292559,87,699.544135
124.256324,58,704.644431
143.977264,138,714.085137
240.022133,196,725.212955
202.571656,113,733.394213
217.944106,136,740.876876
201.160886,109,747.376663
241.185449,169,758.839289
234.072156,170,768.275272
143.203902,56,771.564892
145.310889,55,774.595407
170.78519,88,780.192733
114.732689,47,783.109607
136.818665,85,787.986483
130.100405,30,789.771356
117.605253,61,793.348305
187.683258,63,798.789093
131.610637,45,801.802258
146.992888,66,805.660301
143.890807,56,808.998214
152.106731,122,816.351678
208.975862,126,823.654615
144.58988,45,826.507264
219.923724,128,833.627478
168.011062,84,839.611197
174.42718,88,844.764299
198.689891,136,852.731033
97.581367,143,860.502511
153.137535,52,863.954794
161.936253,81,868.708909
212.816656,111,875.603016
201.559541,105,882.605725
131.422369,39,885.080333
139.029824,47,888.066986
216.724018,121,895.908371
210.606236,132,903.976529
139.534805,53,907.491857
202.12927,102,913.5416
192.930459,107,920.085559
106.642221,42,922.573551
110.703733,24,924.015563
235.825943,146,933.125376
163.282553,67,937.189977
215.775147,116,945.380429
211.004754,128,952.943936
195.093428,87,958.015455
190.534593,103,963.768463
167.547037,91,969.816056
115.042285,22,971.197541
159.348845,107,977.431353
207.12458,115,983.974368
176.451509,85,989.391673
259.320742,86,994.628051
207.979224,105,1001.539311
151.426431,88,1007.699748
158.056682,74,1012.358672
164.720331,67,1016.385888
227.959022,122,1023.221188
232.041679,124,1030.585492
175.896594,89,1035.933661
113.600013,21,1037.770801
230.49477,130,1045.261547
110.445833,22,1047.947359
197.809299,107,1054.146298
126.068083,43,1056.744718
176.635965,82,1061.390602
165.149147,75,1065.701414
174.97872,72,1070.078762
162.477378,64,1073.665428
133.349331,55,1077.283786
119.563805,21,1079.642939
178.743225,24,1083.002186
190.598761,99,1089.209444
133.943568,44,1092.271392
142.352362,50,1095.295968
179.368081,100,1101.087629
208.030268,87,1106.415392
112.189314,14,1108.353013
163.197346,52,1111.273778
176.569614,44,1115.674543
192.967175,78,1121.311661
115.876741,83,1127.782622
127.377892,34,1130.138938
216.355068,107,1137.650291
109.00244,11,1140.003076
205.225885,101,1146.028336
203.545543,93,1151.510736
140.136311,46,1154.305476
156.92953,53,1157.26788
176.530958,58,1160.49273
154.152588,54,1163.846993
152.936893,47,1166.674041
157.482467,56,1170.145989
176.083504,68,1174.022937
167.100266,83,1178.711375
222.172292,101,1184.234241
185.008558,90,1189.987182
129.940664,65,1194.407921
119.207886,29,1196.020543
110.311199,91,1202.920535
186.269554,78,1207.33377
155.205096,64,1210.923859
134.871071,33,1214.231848
226.902659,112,1220.489933
136.846481,35,1223.080735
169.222481,125,1232.153854
201.179408,82,1236.89387
218.294122,100,1242.450361
118.963345,119,1251.117805
117.614962,33,1253.113012
175.680965,65,1258.107933
189.233929,91,1263.475396
185.109168,72,1268.675204
216.378041,119,1276.250763
223.720801,91,1281.551123
258.239399,78,1287.810224
236.761325,85,1293.039875
193.658279,78,1297.608492
206.158387,95,1303.145816
201.341225,91,1308.143586
186.622627,80,1312.742369
130.624103,46,1315.779493
177.969984,79,1321.372148
180.617469,72,1326.713683
187.555946,72,1331.148261
225.166528,110,1338.500024
156.494702,55,1341.970749
169.759019,76,1346.454257
166.870746,89,1353.456513
144.155791,52,1356.519188
182.921849,126,1364.90568
169.829631,61,1368.383096
179.910239,65,1372.284132
164.215371,51,1375.408119
125.149538,21,1376.76544
229.557106,119,1383.911605
205.812982,80,1388.85363
140.439454,37,1391.154375
163.560941,53,1394.430914
167.157797,52,1398.069362
162.151401,50,1400.82607
170.748798,62,1404.415256
147.68477,48,1407.352271
130.604647,31,1409.976386
197.694879,84,1416.502344
150.166597,57,1420.149709
121.143529,29,1421.924214
204.168066,89,1426.774914
149.23261,47,1429.463025
216.497587,70,1435.256538
145.372207,47,1437.940061
223.796654,102,1443.96064
273.849503,68,1449.941204
121.429076,36,1452.158394
209.660189,125,1461.095972
248.600491,125,1468.419079
127.790447,33,1470.477548
198.471504,90,1475.778903
205.798207,89,1481.6967
166.988219,66,1485.76216
170.211583,62,1489.431941
176.126185,103,1497.20927
221.6141,90,1502.249019
237.979294,108,1508.824085
265.963639,22,1510.384634
175.05521,61,1514.864275
139.755707,45,1517.526872
240.678258,129,1525.38795
224.081563,103,1532.068061
160.002455,55,1535.428305
177.921498,65,1539.173047
170.15488,156,1549.890766
145.402213,39,1552.063862
224.678799,101,1557.770617
125.153303,28,1559.444679
157.566173,53,1562.54355
186.902196,71,1567.486406
235.940049,35,1569.876075
165.182388,82,1574.360732
229.985372,114,1580.859293
173.393839,60,1584.543229
252.043907,161,1595.528146
160.081759,47,1598.375127
136.677794,31,1600.34952
205.068323,81,1604.792959
164.390438,57,1608.337767
195.04664,82,1612.927441
193.193493,80,1617.980938
121.004131,20,1619.659735
131.621932,54,1623.133374
272.21616,53,1626.186528
163.973868,56,1629.36895
212.086741,84,1634.233258
203.556993,75,1639.296909
152.286607,40,1641.533477
190.332423,74,1645.611701
114.011905,22,1647.018279
119.152788,53,1650.330706
123.153887,26,1652.187855
201.819215,89,1657.408093
220.657774,97,1663.727969
205.141832,87,1670.150369
169.108755,54,1673.382753
142.327835,37,1675.419964
196.180467,78,1681.114215
128.696782,25,1682.565606
213.083434,83,1687.883611
143.422227,37,1691.465349
169.774997,57,1695.07078
204.77269,90,1700.434997
183.3671,75,1705.392824
231.881023,51,1710.149859
246.061305,126,1717.081304
179.58893,62,1721.744142
169.108319,53,1724.867127
145.42171,35,1727.411611
189.365916,83,1732.115337
138.741196,78,1738.372505
152.806565,46,1741.634954
158.073141,54,1745.298358
240.040647,113,1751.610192
133.101774,41,1755.07173
186.495882,8,1757.548494
148.112477,67,1763.156794
122.373173,27,1765.489745
142.526922,37,1767.868905
159.812462,62,1771.532681
133.842787,37,1773.713132
147.750339,44,1776.593019
193.943189,64,1780.614743
160.706459,57,1783.90136
154.098206,49,1786.86888
132.434872,24,1789.570248
144.132048,37,1791.693112
177.62925,53,1794.671814
145.474277,38,1798.423767
206.237653,83,1803.575243
147.642977,42,1806.213704
200.269165,80,1811.654671
176.710632,61,1815.237435
151.336267,46,1818.422332
199.621215,80,1823.639859
147.378533,36,1826.385773
219.392131,90,1831.555924
134.691149,29,1833.207216
229.355636,97,1840.407504
243.55489,106,1846.356767
215.072967,99,1851.81346
261.65322,86,1858.56346
209.524634,82,1863.627347
157.516374,52,1868.469743
118.281069,15,1869.419186
109.177723,18,1870.703293
224.128163,99,1877.569182
219.663265,101,1883.67131
174.027966,63,1887.365152
140.537278,33,1890.588525
229.969461,99,1896.545373
148.784441,71,1902.412345
167.715111,60,1907.735801
120.585779,62,1913.126832
215.786056,85,1919.309199
161.061865,44,1922.082783
115.06453,16,1924.317555
115.985694,20,1925.733254
229.329034,107,1931.909168
126.59396,23,1933.703234
119.148975,17,1935.778584
198.90322,68,1939.698875
173.857523,57,1943.616191
165.129689,48,1946.523232
214.230281,84,1951.388092
203.764632,71,1955.682756
193.795373,65,1959.377947
147.350166,37,1962.653067
229.178967,47,1965.254185
212.810326,86,1969.977085
115.834287,21,1972.712298
215.825863,82,1977.934586
128.351106,20,1979.242535
212.942237,79,1983.917864
179.066464,58,1987.292
172.476604,56,1990.683435
134.208291,31,1992.716805
188.150273,62,1996.241972
146.024923,40,1998.572716
189.145425,70,2002.400897
211.975815,82,2006.923508
179.419412,62,2011.868696
130.325692,26,2013.437451
155.302269,38,2015.545066
205.769832,34,2018.159681
117.575729,12,2018.899137
207.630154,80,2023.626342
160.493686,79,2028.317365
212.982231,82,2032.932005
160.24889,48,2036.507034
188.554461,64,2040.770307
164.516149,59,2045.997613
172.291085,57,2049.268207
196.512236,69,2054.051137
194.958512,70,2059.261263
199.874651,74,2063.923521
107.094915,8,2064.73553
123.917096,18,2066.086904
133.455579,29,2067.849972
228.419468,57,2073.008052
180.131558,55,2076.384269
218.628554,82,2080.994288
205.397258,73,2085.177133
218.656397,84,2090.060317
150.962923,40,2092.551081
166.368746,49,2095.375113
179.227583,57,2099.512472
151.290917,37,2101.794246
194.860824,109,2108.003893
168.289631,52,2111.207743
190.546687,64,2115.111143
207.650506,71,2119.239611
202.109001,70,2123.348459
123.964758,23,2124.761865
122.789345,18,2126.054772
164.72792,55,2130.174579
203.826092,72,2134.304474
131.65899,28,2135.917556
227.605067,91,2142.852349
178.556368,53,2146.373375
159.51361,42,2149.38307
149.886455,42,2151.684789
111.779039,16,2153.531452
170.792289,57,2157.10983
179.814354,74,2161.509847
237.560053,99,2167.065697
148.616977,37,2169.412098
194.942605,67,2173.271486
237.33518,112,2179.876985
158.909872,43,2183.682348
125.82293,25,2185.203922
151.833613,35,2187.331171
117.190105,12,2188.32738
244.645895,100,2194.057395
231.806811,84,2199.970516
182.991804,61,2203.469164
190.144223,60,2206.828686
163.781455,57,2210.923018
159.506821,49,2213.705993
152.170555,35,2215.662154
177.261028,55,2219.717746
124.766584,19,2221.170299
147.38759,35,2223.256487
214.480161,85,2229.67046
131.486398,25,2231.898557
136.895907,25,2234.602185
243.933066,98,2240.420333
185.867431,64,2245.144633
141.471076,28,2247.092715
190.41711,65,2252.138509
170.766666,52,2255.16555
259.231495,109,2261.328219
265.788293,48,2264.002621
311.729374,80,2270.458543
146.024188,36,2273.380637
286.211539,86,2278.348684
158.611977,45,2281.063322
114.977636,13,2282.205559
235.581047,93,2287.404424
163.611382,46,2290.322562
103.874063,3,2290.539137
154.790545,102,2296.600217
139.363993,96,2303.756814
204.981908,71,2308.068319
171.929152,51,2311.133847
169.701682,51,2314.128052
200.610229,66,2319.320695
166.495092,44,2321.96474
202.193205,70,2326.238232
131.13965,26,2327.855944
200.186018,71,2333.156612
168.614296,29,2334.965098
159.680123,39,2337.302606
119.945923,18,2338.531809
207.197439,72,2342.75876
225.381325,88,2347.982445
111.487049,13,2348.80317
151.941626,36,2351.13785
181.007639,56,2354.472984
231.363262,85,2359.506456
216.195882,76,2364.047
124.356182,17,2365.104395
206.979977,74,2369.758999
231.641294,82,2374.438195
130.537028,48,2379.119343
218.808061,89,2384.048804
163.362532,53,2387.450927
166.044326,43,2390.006261
247.355755,62,2393.669544
137.231341,23,2395.053543
293.445731,95,2402.245931
114.38299,10,2403.87452
261.463127,105,2410.291953
243.110182,96,2416.811862
169.217843,51,2420.106211
187.903308,65,2424.584903
121.102317,33,2426.703585
190.468541,106,2434.518007
158.634158,48,2437.293435
237.290343,90,2442.37513
200.156319,72,2446.850935
246.225086,109,2453.007134
153.599178,36,2455.193947
196.73276,67,2459.133149
221.079374,94,2466.323463
161.759676,45,2469.758207
179.1901,51,2472.978279
177.161018,52,2475.955911
140.468231,26,2477.715314
191.554635,58,2481.357688
191.367696,57,2484.833114
178.23303,53,2488.122767
202.707899,72,2493.962223
188.641987,59,2497.167897
200.39401,68,2500.859231
159.170394,43,2504.144217
231.518649,87,2508.899511
185.58748,54,2512.342462
232.366147,85,2516.972208
210.164466,75,2522.21197
212.995213,58,2527.38792
193.884426,66,2532.021233
214.495527,77,2536.237919
145.03802,32,2538.321416
163.930055,46,2541.305699
154.044144,35,2543.619625
117.623248,37,2547.616697
176.448844,57,2552.42507
137.360471,26,2553.992272
203.98332,68,2557.833842
158.499827,56,2561.349015
194.028906,62,2565.11654
188.925076,60,2568.664707
239.336749,91,2574.098702
129.930235,24,2575.51286
159.456551,44,2578.13458
141.414886,31,2579.917319
172.145184,49,2582.751199
178.930618,52,2585.866444
177.449971,50,2588.80787
143.75427,55,2593.803821
122.667718,19,2596.445525
100.083693,45,2600.853466
266.104129,114,2608.120418
170.244116,49,2611.763924
198.363607,71,2616.8264
212.609014,77,2621.289884
164.490409,40,2623.861295
173.450612,50,2626.654271
184.838882,28,2629.556589
118.703562,72,2633.57876
135.255835,28,2635.429283
155.548369,43,2638.414775
140.718969,30,2640.102663
152.770306,40,2642.504179
178.381719,57,2645.919855
247.542236,96,2652.062901
151.212873,34,2654.073755
145.033199,30,2655.935828
187.048086,64,2659.665869
229.435223,86,2665.508534
187.597469,57,2668.658238
258.593021,99,2674.851609
221.303451,96,2680.479189
137.914092,28,2682.144261
151.356151,36,2684.660894
188.951729,58,2687.942756
174.742232,73,2692.153073
267.401335,80,2698.641843
143.489117,36,2700.759268
170.036558,45,2703.757478
252.218757,101,2711.098
309.021712,62,2714.61377
145.315151,30,2717.716972
185.546565,54,2721.048569
233.848882,87,2726.645548
166.47262,44,2729.061235
143.896352,38,2731.646033
177.786483,55,2734.804611
153.633154,48,2738.882332
200.515691,103,2746.417705
205.933555,68,2750.875782
255.279614,98,2756.185533
181.073017,51,2759.74373
206.402678,71,2764.675766
219.126116,29,2766.345492
131.788558,20,2767.560168
104.572354,27,2771.128441
232.002996,87,2776.298213
171.286978,50,2779.136594
155.4027,36,2781.199721
184.89375,53,2785.039973
236.308436,90,2790.210548
225.270217,81,2795.152077
233.490289,87,2800.145103
179.627969,10,2800.792216
114.1355,20,2802.223418
224.947596,88,2807.19962
181.125403,51,2810.226017
214.01869,115,2818.486846
203.361126,71,2823.060888
222.075337,85,2829.880825
150.543283,33,2831.791414
199.876563,62,2835.778068
129.818594,31,2838.519356
113.542208,9,2839.171786
212.828363,65,2842.812044
227.530623,79,2848.319726
178.872964,52,2851.579869
188.918704,56,2856.641937
191.685991,63,2860.338179
184.025568,59,2863.9854
175.707876,48,2866.924444
241.121125,88,2872.918072
150.990635,32,2875.396158
147.587133,47,2878.263711
166.793994,49,2881.160586
167.858759,50,2884.362985
169.771054,43,2887.030819
160.250558,37,2889.239199
251.860065,101,2895.166349
173.142925,46,2897.798728
148.569521,33,2900.132186
199.772262,63,2903.9713
218.667733,44,2907.099909
277.8614,98,2914.819905
219.29122,82,2919.790842
166.125962,49,2923.361876
190.261612,59,2926.704042
171.506252,48,2929.544985
144.568253,32,2931.769625
146.243333,30,2934.241702
166.024413,46,2936.946878
202.827854,68,2941.107622
164.332758,41,2943.900515
164.673937,47,2946.854928
280.722289,55,2950.014662
150.996968,33,2951.888635
167.072434,41,2954.140919
132.245663,23,2955.806991
108.332623,7,2956.402785
157.911427,45,2959.467239
163.22716,43,2962.198624
220.230577,91,2967.500803
169.400239,47,2970.175413
140.938404,28,2972.365163
208.791008,70,2976.627528
143.521816,30,2978.610904
201.057214,71,2982.649473
111.948902,12,2983.350424
129.908982,19,2984.593731
152.635562,87,2989.461938
194.476914,63,2993.066268
262.431601,114,2999.444027
244.37516,92,3004.542014
203.608227,66,3008.629056
205.039467,67,3012.474198
143.86886,28,3014.116576
142.291342,31,3015.983214
217.842246,78,3020.342812
227.585749,86,3025.182404
168.373032,44,3027.761139
186.595654,56,3031.102177
203.86928,71,3035.464988
158.362721,37,3037.788485
192.378976,58,3041.327757
200.757718,66,3045.142758
156.426544,38,3047.730829
154.527536,35,3049.917445
159.458378,47,3052.751019
193.728713,61,3056.465518
233.379719,86,3061.772897
177.954721,51,3064.943666
174.196339,51,3068.122931
201.396282,69,3072.035228
183.389205,53,3076.04029
202.532796,71,3080.110106
143.47847,54,3083.588769
206.345254,68,3087.609429
236.749399,25,3089.762606
174.818575,50,3093.793914
144.340658,31,3095.518821
168.586475,47,3098.68997
147.682826,44,3102.61513
162.172596,45,3105.236734
142.28868,29,3107.49772
264.070378,116,3114.444756
197.311552,34,3116.701983
193.999073,61,3120.173596
209.524624,71,3124.19675
116.707069,19,3125.487448
189.04375,56,3128.855098
152.393281,35,3131.248039
171.55,46,3133.813403
165.268582,42,3136.360917
212.827628,75,3141.07481
178.991743,30,3142.955581
109.680211,10,3143.656478
256.133463,104,3149.594508
144.494415,31,3151.473907
159.238026,43,3154.423287
232.665158,86,3159.328729
170.685875,45,3162.746561
119.908897,14,3164.981942
162.833013,40,3168.673126
192.601225,66,3172.578615
211.917889,72,3176.868458
139.484393,28,3178.442006
242.734477,74,3184.456763
191.428834,42,3188.771945
225.85656,78,3193.335249
127.284494,18,3195.984359
197.022859,60,3199.859159
215.700896,75,3204.608783
244.108706,97,3210.24525
213.482893,11,3212.625411
221.131687,62,3217.001308
144.162122,32,3218.976991
201.504848,68,3223.237637
208.000522,69,3226.9825
217.968102,17,3229.909031
278.64068,119,3236.885378
209.557633,69,3241.152268
235.884841,92,3246.562082
181.895387,53,3249.736318
168.692435,44,3252.330206
200.31664,64,3257.108608
164.849906,46,3259.816632
204.456805,70,3263.623348
212.856028,70,3269.404455
257.703916,105,3276.651158
170.318322,46,3279.355709
190.898403,62,3284.672728
182.171094,52,3287.523346
115.41936,11,3289.689767
125.076954,18,3291.473073
157.403366,70,3297.310429
167.559519,43,3300.303881
190.32764,60,3304.528082
166.470337,47,3307.195555
189.481541,56,3310.500016
180.651075,54,3314.076149
130.351021,19,3316.703133
141.127374,28,3318.685215
257.217185,100,3325.578049
125.768909,17,3326.746024
160.347935,44,3329.50317
200.912617,67,3333.357454
157.32282,40,3335.678521
190.698711,56,3340.710247
208.14408,68,3344.803398
151.061287,33,3346.774742
122.335199,18,3348.221315
132.823985,26,3349.846019
139.47483,27,3351.58421
107.690569,25,3353.265272
146.683733,30,3355.3506
234.904181,88,3360.617327
188.88088,61,3364.179704
115.608923,15,3366.003212
176.478222,52,3370.245527
162.793311,45,3372.71139
220.943443,79,3377.643189
241.145623,89,3382.691614
190.482494,57,3386.245151
212.696807,73,3390.514964
143.644738,32,3392.523073
153.016388,61,3396.082916
187.25581,55,3399.622676
187.944976,7,3402.048928
168.300691,45,3404.725933
252.34337,101,3411.463249
186.008715,58,3415.168849
153.808607,35,3417.216757
236.472733,94,3423.016299
191.135081,63,3426.853459
165.74625,43,3429.692497
218.712422,76,3433.937469
211.623052,69,3438.043751
183.680398,53,3441.275529
121.256822,19,3442.449059
185.606223,58,3445.789557
140.096376,27,3448.199484
191.969805,60,3452.518894
119.559815,21,3455.232213
236.742972,89,3460.223184
197.351062,46,3464.742273
199.128645,64,3468.529639
146.401497,34,3470.658064
192.635494,58,3473.920007
128.382031,21,3476.905701
204.298852,51,3479.827532
164.563177,43,3482.536675
130.715564,24,3484.873551
214.804715,74,3489.28372
241.831107,117,3495.775457
253.078384,96,3501.709006
164.13044,40,3504.849013
223.622285,79,3510.443134
140.525791,25,3512.614394
172.099853,44,3515.174255
169.176128,44,3519.270617
110.602424,7,3519.702357
170.465901,52,3522.636951
229.818802,81,3527.98503
157.513362,50,3531.900432
196.413514,63,3535.563169
132.048545,27,3537.338183
205.208829,72,3541.736036
160.403971,43,3544.147038
166.142941,45,3546.997426
196.148205,59,3550.837079
125.278475,17,3551.873506
205.938947,66,3555.550151
116.042138,14,3556.54232
180.217091,50,3559.979817
162.089663,40,3563.434891
166.744007,45,3566.155934
197.324534,64,3569.925763
175.987553,48,3573.156675
116.559792,21,3574.653694
214.799181,80,3578.973166
224.482226,31,3581.572051
206.013477,50,3586.313251
239.586342,91,3591.273688
152.522304,37,3593.400363
225.129474,76,3597.802607
211.26597,72,3602.019078
154.684432,40,3604.298509
124.25635,100,3610.007051
142.650777,33,3612.07286
216.995813,76,3616.530216
187.034557,55,3619.644859
167.965909,47,3622.423834
198.202598,80,3627.539138
234.581158,86,3632.735277
206.393457,71,3636.575821
114.636589,10,3637.22159
140.319461,25,3640.625283
171.858048,51,3643.521237
184.003981,53,3646.523912
203.097925,67,3651.872256
191.836113,62,3655.766083
155.582652,37,3658.941094
127.712416,62,3664.280028
