#{"t_start": 1789588117.2260764, "env_id": "None"}
r,l,t
-116.428236,33,3.415989
-109.710227,22,4.740622
-213.78772,281,21.265187
-4.880961,300,39.299206
-77.693268,30,41.062998
-152.370286,97,47.115333
133.258664,135,54.48777
-100.019787,1,54.610573
-158.738898,69,58.827312
-276.47274,300,77.069888
-72.910792,300,95.289695
-84.509721,250,110.784371
-88.192723,300,128.545921
-36.077496,300,146.202459
-187.487131,1,146.292097
-99.368358,1,146.6596
-100.733019,4,147.293964
-61.298823,300,164.605375
16.504212,300,182.12404
-99.805932,1,183.170291
-157.132356,98,190.539805
-143.604297,63,194.387717
-26.427664,300,212.083743
-93.452758,32,214.210546
-108.58981,300,231.61385
-92.081591,31,233.671429
-180.614109,227,248.011127
-100.647171,1,248.130729
-99.94884,1,248.383683
-99.850002,1,249.625881
-1.778984,300,267.389518
-100.038693,1,267.647603
-100.061877,1,267.938912
-212.256806,1,268.651457
-150.591117,227,282.715214
-2.018214,65,286.62539
-90.941972,15,287.527539
-100.360735,1,289.64094
170.930494,170,299.404339
-100.024403,1,299.801135
42.429612,300,317.3462
-55.146583,300,337.058909
-5.889793,299,354.589848
-91.833444,103,360.827389
-81.418355,15,361.879881
102.208736,300,379.896243
-49.731521,181,390.468074
-97.313512,6,390.890444
66.110345,300,408.53971
51.326721,300,426.330896
-107.621476,97,432.726058
133.053813,300,450.719635
230.917627,296,467.944565
-100.065485,1,468.426588
51.272267,300,486.103318
-20.492934,197,497.386755
-6.165204,300,514.635234
131.396444,143,523.1771
-99.601546,1,525.118071
105.077049,20,527.680992
-115.909069,5,530.027675
100.56008,300,548.788192
-63.928013,132,556.708325
-77.964783,44,559.648872
202.242595,288,576.676079
107.471359,300,594.20519
147.31579,92,599.64389
-59.903738,170,609.319072
110.462276,245,623.800207
266.846533,275,641.681523
-65.353768,300,659.332661
161.82295,103,665.886083
-26.373399,300,683.828746
112.981807,91,689.423498
-55.630096,300,706.465697
-100.039482,1,706.930183
26.379852,300,723.945031
-100.411083,20,725.487625
189.672941,94,732.87865
-82.456306,146,741.598976
-100.067296,1,743.693235
221.400391,225,757.7484
14.339615,300,775.878745
187.021003,240,791.488629
-100.021015,1,792.702586
45.89362,300,811.756215
-100.060272,1,811.925412
-87.779608,48,815.533738
149.565491,140,823.994862
-12.785025,113,830.851559
-99.926906,1,832.954432
187.475479,121,840.382601
-100.083111,1,840.619832
141.570042,237,854.317713
92.34515,227,867.624844
-99.85152,1,867.819218
136.848538,126,875.133639
-100.068561,1,875.824847
-99.13004,21,877.930845
162.47504,197,890.273567
-107.860337,250,904.723406
-99.364403,1,906.221991
-100.264251,7,907.607256
-100.056594,1,909.694207
-100.07173,1,910.50896
-99.719542,2,910.796345
-106.096975,22,912.112226
181.507131,143,921.604585
-100.073808,1,922.785769
207.324243,235,936.718113
-128.976802,76,941.071345
-24.882637,190,952.625044
136.131661,229,966.466572
153.149153,100,973.736129
244.162848,210,987.820789
-99.371621,1,988.386611
-48.539652,132,995.975963
169.501786,96,1001.924396
142.54063,55,1005.169119
199.27083,167,1016.008318
-101.442177,6,1017.431237
-92.714817,29,1020.485637
-100.059996,1,1022.140571
213.787582,186,1033.184321
180.434448,94,1039.105932
119.376179,85,1044.094467
202.076663,247,1060.235459
152.560251,97,1065.837749
241.567541,228,1079.027373
130.801445,160,1089.039047
207.938931,124,1096.830104
139.357791,105,1103.034494
-65.539664,129,1110.562713
54.560883,300,1128.503909
149.189405,166,1138.24028
231.084792,226,1152.977213
155.780231,95,1158.757931
123.391445,34,1162.457463
177.38651,181,1173.640856
250.221688,240,1189.44117
175.95635,185,1200.386795
197.39985,105,1208.376637
137.435135,47,1211.355431
165.814679,147,1219.940371
-14.073801,4,1222.186534
220.342136,227,1236.05081
187.333273,121,1243.203946
197.423572,117,1250.184931
188.21539,214,1264.375266
149.92727,82,1269.670946
163.486116,136,1277.802974
-230.286521,1,1278.673617
-100.272129,1,1280.353049
-96.088064,21,1282.327543
141.523866,91,1287.986672
206.367018,154,1297.918067
142.874641,117,1304.858846
189.456384,85,1310.679253
166.975283,108,1317.136825
107.595875,300,1334.558934
230.652048,193,1346.224144
308.800406,151,1356.981054
191.869228,244,1371.289052
179.602566,119,1378.170717
168.192924,87,1383.515258
176.822177,111,1390.029466
-100.231908,5,1390.497344
-135.763604,1,1390.795843
206.249144,149,1399.767645
178.947749,107,1406.06851
-116.988969,2,1407.581758
-98.890197,68,1412.027412
138.168347,86,1417.272402
-100.066278,1,1418.439295
-106.677492,7,1419.119435
152.880314,95,1424.910288
168.260753,114,1432.476559
203.982539,151,1441.797394
142.137278,51,1444.944701
127.608027,32,1447.045584
124.947299,65,1451.041725
-29.085416,110,1457.926083
170.76415,92,1464.189782
162.192861,77,1469.564423
119.39212,32,1471.906948
170.258045,102,1478.083818
156.343798,75,1482.698461
99.929645,1,1483.00937
151.448018,82,1488.19052
191.026845,115,1495.413126
230.778396,154,1506.151554
-93.222769,12,1507.845602
-100.055728,1,1509.951449
173.692162,201,1521.644261
-57.352449,6,1524.03797
-100.071175,1,1526.09809
152.937605,254,1543.225893
108.914818,117,1550.277759
310.898361,79,1555.00484
217.433758,179,1565.516704
140.791669,153,1574.778467
143.09287,106,1581.978372
135.351831,34,1584.058282
179.576775,109,1592.507042
175.732833,124,1599.606649
229.196376,74,1605.86485
177.989393,82,1610.68723
-67.38371,83,1615.855946
155.084726,91,1621.239975
150.458604,94,1626.618595
-26.682122,183,1637.452592
193.025729,115,1644.603549
-54.000695,85,1649.517617
-58.587863,96,1656.54774
171.703261,96,1662.195495
-26.462416,159,1671.895214
142.018577,48,1675.017841
183.046552,82,1680.978632
-24.555992,132,1689.31986
160.626962,93,1695.527901
161.527149,69,1699.992422
187.29225,155,1710.534343
-65.557267,89,1716.229302
151.53422,94,1722.959537
99.913149,1,1723.134664
118.3017,20,1724.474599
-40.874057,117,1731.517627
-52.592429,133,1739.234328
138.735577,52,1742.482932
-132.8135,1,1743.512777
174.061385,120,1752.285023
174.884111,176,1763.109825
245.92897,246,1778.399465
151.643474,86,1783.66628
-99.82399,1,1784.316573
183.852086,108,1790.680622
-100.081593,1,1791.515963
172.25046,74,1795.989616
191.375064,156,1805.175608
193.900743,123,1812.389238
-214.774772,1,1812.821847
183.301023,103,1819.444634
166.39357,89,1825.085966
120.217719,29,1827.145982
191.746256,110,1834.180528
134.347784,54,1837.428199
209.313367,115,1845.128659
-47.631624,118,1852.302262
-27.989709,141,1860.769928
188.630626,93,1866.327887
-101.858384,72,1870.758936
-78.963279,50,1873.933517
191.363171,139,1882.295928
-96.935784,5,1882.81016
-203.55581,1,1883.822305
179.569009,119,1891.246147
-58.065488,136,1900.044999
231.35152,167,1909.660751
179.887999,99,1915.506657
188.22476,114,1923.152816
183.525138,101,1930.723739
-72.83115,118,1938.533939
134.797658,48,1941.873883
225.821255,189,1953.26447
228.283138,157,1962.388815
231.795825,224,1976.027735
238.175196,140,1985.109957
-100.075165,1,1985.740822
245.697832,156,1995.209635
-34.626849,206,2007.362023
217.601258,137,2016.556778
-83.090516,11,2019.22634
138.372521,78,2023.818594
175.632905,125,2031.268628
-99.917832,1,2031.389481
121.008397,49,2034.281193
-100.068361,1,2034.506174
140.755441,93,2040.415356
-104.100181,16,2041.367979
-100.299275,1,2043.42792
203.49412,109,2050.856855
179.484023,103,2056.871896
-103.300093,100,2062.709759
124.244572,22,2065.229964
143.420455,83,2071.487628
133.587354,69,2075.787427
169.71888,56,2079.123508
-99.912292,1,2079.654261
-56.247342,103,2085.953517
149.336675,70,2090.089282
-81.521488,42,2094.563102
134.386731,64,2098.562284
220.159481,115,2105.301572
-85.883537,54,2110.146228
-100.051446,1,2110.454562
192.345041,79,2115.502255
-100.104623,1,2115.757842
109.566467,28,2117.638915
-46.498476,94,2124.530095
174.286844,76,2128.953979
-86.521176,36,2131.099527
183.347569,141,2139.437084
107.240185,15,2142.14068
124.032839,139,2152.828121
134.46815,36,2155.123584
190.045833,97,2160.797611
199.531337,39,2163.440899
116.081587,24,2165.222525
161.662498,82,2169.994429
198.044769,137,2178.341323
174.082323,80,2183.593078
149.316305,105,2189.585456
148.758888,79,2196.1006
-49.938643,74,2200.396848
143.275492,61,2204.146805
160.023227,91,2210.028234
-100.056242,1,2211.118846
238.534382,139,2219.184996
-15.265821,15,2222.058895
218.441501,120,2229.223931
-100.054912,1,2229.90919
-99.904084,1,2232.027866
227.259883,147,2241.381931
144.657704,57,2244.83022
-26.800446,130,2252.705283
-20.474774,147,2261.559364
190.866115,125,2270.183114
-100.098935,1,2270.59429
251.614252,220,2283.532724
150.29617,95,2290.015953
142.499927,85,2294.86857
159.358512,73,2300.718332
-99.964348,1,2301.6315
204.425087,94,2308.036709
-1.773409,1,2308.570295
257.916117,257,2323.966206
257.475497,172,2334.679227
-99.474882,1,2334.954721
132.244228,169,2346.10108
239.481642,147,2356.351319
244.36146,151,2365.87558
-100.160878,1,2366.048364
190.812726,121,2373.294623
-99.863124,1,2373.42797
209.800907,126,2380.772345
205.746693,122,2387.829631
-66.611691,15,2390.765466
-99.898192,1,2390.957839
137.063287,56,2394.370437
-100.100161,1,2395.110786
202.333139,149,2404.442082
-40.736361,1,2406.551499
-99.883312,1,2408.678213
-100.055971,1,2410.739511
123.604489,138,2420.773654
183.655689,119,2429.485183
-173.268452,1,2430.65518
-29.481018,125,2437.952556
204.695438,143,2447.961316
134.618794,84,2454.823033
161.921357,79,2459.690468
103.338233,3,2461.912205
-99.52195,1,2463.744999
258.632145,146,2472.849663
128.892149,41,2475.229771
227.065333,145,2485.375882
-200.07891,1,2485.618243
240.792088,188,2497.159822
179.323822,75,2501.797034
164.688776,70,2506.325637
125.248366,78,2510.961448
163.212006,203,2524.696332
-100.070545,1,2524.81012
215.686857,173,2536.568791
143.515653,55,2540.218585
131.761821,69,2545.731224
169.542313,138,2554.537187
-82.5525,89,2560.360269
-84.943708,25,2561.826853
198.45412,119,2568.674912
156.27443,139,2576.964441
-100.057958,1,2578.140975
172.003663,127,2585.560422
136.041463,52,2590.29262
-100.046137,1,2590.411606
-27.230407,225,2605.2381
166.076427,102,2612.286598
201.380546,180,2622.758619
195.614391,104,2629.917844
181.837729,148,2639.993286
120.499728,18,2642.253641
116.914848,36,2644.536831
155.362971,56,2647.823484
215.734377,174,2657.776604
178.364843,116,2664.676705
193.4353,105,2671.6752
192.148643,99,2678.41585
198.964897,126,2685.895329
196.500265,99,2692.112895
-126.87538,1,2692.327371
-100.055939,1,2693.414172
172.031383,135,2701.353739
134.100847,204,2713.253773
154.618578,93,2718.689626
170.917283,66,2722.7126
-100.075124,1,2723.051662
-100.110044,1,2724.025352
216.737835,150,2732.816816
151.132226,44,2735.552855
126.808522,35,2737.694421
242.868723,241,2752.165457
198.794742,127,2759.945395
146.944824,48,2763.479312
116.91196,34,2767.199862
167.310568,86,2772.626475
128.420645,37,2775.336402
-103.692607,21,2777.496299
126.31636,47,2780.410275
112.576053,60,2784.179084
140.91541,57,2787.984516
124.25993,153,2798.665199
225.007854,150,2807.319088
218.100486,143,2815.843213
203.669511,132,2823.945323
232.815505,123,2831.310204
166.510159,84,2836.280972
158.361052,93,2842.178399
-100.081281,1,2843.150667
151.388336,86,2849.177466
169.888527,84,2854.113572
-99.87487,1,2854.307258
-100.630065,1,2855.322691
190.358844,83,2860.507697
158.846602,59,2864.242288
162.200324,84,2869.244854
10.753518,1,2869.643497
143.425825,92,2875.649552
244.198917,165,2885.107997
-100.072878,1,2885.571419
-100.10998,1,2887.170432
225.520613,153,2897.696385
-84.369479,177,2908.218248
109.690354,153,2917.342638
177.665285,103,2924.15572
-100.026463,1,2924.421574
172.834906,137,2933.276366
-29.797246,140,2941.81458
154.007012,45,2944.784658
212.097869,142,2953.510896
215.478474,118,2960.638792
-106.047706,2,2961.004648
99.938885,1,2961.417672
213.001574,97,2967.471442
